# library	entry_point	managed_return	abi_return
sdkencryptedappticket	SteamEncryptedAppTicket_BDecryptTicket	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BIsLicenseBorrowed	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BIsLicenseTemporary	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BIsTicketForApp	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BIsTicketSigned	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BUserIsVacBanned	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_BUserOwnsAppInTicket	bool	u64
sdkencryptedappticket	SteamEncryptedAppTicket_GetTicketAppID	uint	u64
sdkencryptedappticket	SteamEncryptedAppTicket_GetTicketIssueTime	uint	u64
sdkencryptedappticket	SteamEncryptedAppTicket_GetTicketSteamID	void	void
sdkencryptedappticket	SteamEncryptedAppTicket_GetUserVariableData	IntPtr	u64
steam_api	SteamAPI_GetHSteamPipe	int	u64
steam_api	SteamAPI_GetHSteamUser	int	u64
steam_api	SteamAPI_GetSteamInstallPath	int	u64
steam_api	SteamAPI_ISteamAppList_GetAppBuildId	int	u64
steam_api	SteamAPI_ISteamAppList_GetAppInstallDir	int	u64
steam_api	SteamAPI_ISteamAppList_GetAppName	int	u64
steam_api	SteamAPI_ISteamAppList_GetInstalledApps	uint	u64
steam_api	SteamAPI_ISteamAppList_GetNumInstalledApps	uint	u64
steam_api	SteamAPI_ISteamApps_BGetDLCDataByIndex	bool	u64
steam_api	SteamAPI_ISteamApps_BIsAppInstalled	bool	u64
steam_api	SteamAPI_ISteamApps_BIsCybercafe	bool	u64
steam_api	SteamAPI_ISteamApps_BIsDlcInstalled	bool	u64
steam_api	SteamAPI_ISteamApps_BIsLowViolence	bool	u64
steam_api	SteamAPI_ISteamApps_BIsSubscribed	bool	u64
steam_api	SteamAPI_ISteamApps_BIsSubscribedApp	bool	u64
steam_api	SteamAPI_ISteamApps_BIsSubscribedFromFamilySharing	bool	u64
steam_api	SteamAPI_ISteamApps_BIsSubscribedFromFreeWeekend	bool	u64
steam_api	SteamAPI_ISteamApps_BIsTimedTrial	bool	u64
steam_api	SteamAPI_ISteamApps_BIsVACBanned	bool	u64
steam_api	SteamAPI_ISteamApps_GetAppBuildId	int	u64
steam_api	SteamAPI_ISteamApps_GetAppInstallDir	uint	u64
steam_api	SteamAPI_ISteamApps_GetAppOwner	ulong	u64
steam_api	SteamAPI_ISteamApps_GetAvailableGameLanguages	IntPtr	u64
steam_api	SteamAPI_ISteamApps_GetCurrentBetaName	bool	u64
steam_api	SteamAPI_ISteamApps_GetCurrentGameLanguage	IntPtr	u64
steam_api	SteamAPI_ISteamApps_GetDLCCount	int	u64
steam_api	SteamAPI_ISteamApps_GetDlcDownloadProgress	bool	u64
steam_api	SteamAPI_ISteamApps_GetEarliestPurchaseUnixTime	uint	u64
steam_api	SteamAPI_ISteamApps_GetFileDetails	ulong	u64
steam_api	SteamAPI_ISteamApps_GetInstalledDepots	uint	u64
steam_api	SteamAPI_ISteamApps_GetLaunchCommandLine	int	u64
steam_api	SteamAPI_ISteamApps_GetLaunchQueryParam	IntPtr	u64
steam_api	SteamAPI_ISteamApps_InstallDLC	void	void
steam_api	SteamAPI_ISteamApps_MarkContentCorrupt	bool	u64
steam_api	SteamAPI_ISteamApps_RequestAllProofOfPurchaseKeys	void	void
steam_api	SteamAPI_ISteamApps_RequestAppProofOfPurchaseKey	void	void
steam_api	SteamAPI_ISteamApps_SetDlcContext	bool	u64
steam_api	SteamAPI_ISteamApps_UninstallDLC	void	void
steam_api	SteamAPI_ISteamClient_BReleaseSteamPipe	bool	u64
steam_api	SteamAPI_ISteamClient_BShutdownIfAllPipesClosed	bool	u64
steam_api	SteamAPI_ISteamClient_ConnectToGlobalUser	int	u64
steam_api	SteamAPI_ISteamClient_CreateLocalUser	int	u64
steam_api	SteamAPI_ISteamClient_CreateSteamPipe	int	u64
steam_api	SteamAPI_ISteamClient_GetIPCCallCount	uint	u64
steam_api	SteamAPI_ISteamClient_GetISteamAppList	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamApps	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamController	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamFriends	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamGameSearch	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamGameServer	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamGameServerStats	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamGenericInterface	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamHTMLSurface	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamHTTP	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamInput	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamInventory	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamMatchmaking	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamMatchmakingServers	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamMusic	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamMusicRemote	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamNetworking	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamParentalSettings	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamParties	IntPtr	u64
steam_api	SteamAPI_ISteamClient_GetISteamRemotePlay	IntPtr	u64
